x,fidesz_y,tisza_y
1.840000000000000000e+02,2.816566544276242438e-24,4.381639435509326607e-17
1.850000000000000000e+02,1.020730559430610025e-24,1.901081537907963634e-17
1.860000000000000000e+02,3.662345168555378411e-25,8.166235631669551118e-18
1.870000000000000000e+02,1.300961619923912915e-25,3.472962748566208340e-18
1.880000000000000000e+02,4.575375590520805547e-26,1.462296357500658239e-18
1.890000000000000000e+02,1.593111132700966667e-26,6.095758129562418046e-19
1.900000000000000000e+02,5.491897831817857081e-27,2.515805776951404723e-19
1.910000000000000000e+02,1.874372402341796517e-27,1.027977357166891700e-19
1.920000000000000000e+02,6.333537821830605639e-28,4.158598979115160189e-20
1.930000000000000000e+02,2.118819253509353758e-28,1.665588032379928859e-20
1.940000000000000000e+02,7.017759942661308872e-29,6.604579860739309386e-21
1.950000000000000000e+02,2.301230708848155168e-29,2.592864701100370926e-21
1.960000000000000000e+02,7.471002275883471614e-30,1.007793539430001137e-21
1.970000000000000000e+02,2.401345400008535790e-30,3.878111931746960865e-22
1.980000000000000000e+02,7.641655411587204623e-31,1.477495492704264937e-22
1.990000000000000000e+02,2.407561131839301166e-31,5.573000022720691680e-23
